port,pkt_seq,original_event_id,tail_flit,head_inject_req_ps,head_ingress_ack_ps,tail_egress_req_ps,tail_capture_ps,per_dest_latency_ns,tmax_component_ns
72,224,224,40e0963,46051,46385,60659,60759,14.274000,14.608000
72,162,162,40a2960,54051,54377,65145,65245,10.768000,11.094000
72,135,135,4087960,33051,33385,72187,72287,38.802000,39.136000
72,151,151,4097962,69051,69385,92605,92705,23.220000,23.554000
72,312,312,4138961,51051,51385,98499,98599,47.114000,47.448000
72,228,228,40e4962,82051,82385,116187,116287,33.802000,34.136000
72,76,76,404c960,106051,106385,121904,122004,15.519000,15.853000
72,165,165,40a5963,67051,67385,127662,127762,60.277000,60.611000
72,78,78,404e962,125051,125377,133379,133479,8.002000,8.328000
72,99,99,4063961,107051,107385,139137,139237,31.752000,32.086000
72,1,1,4001963,131051,131385,144854,144954,13.469000,13.803000
72,69,69,4045963,128051,128384,150650,150750,22.266000,22.599000
72,57,57,4039961,114051,114385,156367,156467,41.982000,42.316000
72,255,255,40ff963,146051,146385,162125,162225,15.740000,16.074000
72,102,102,4066961,84051,84385,167842,167942,83.457000,83.791000
72,15,15,400f960,149051,149385,173600,173700,24.215000,24.549000
72,353,353,4161962,114051,114385,201547,201647,87.162000,87.496000
72,79,79,404f961,154051,154377,207305,207405,52.928000,53.254000
72,55,55,4037963,89051,89385,213372,213472,123.987000,124.321000
72,237,237,40ed963,204051,204377,221746,221846,17.369000,17.695000
72,246,246,40f6960,107051,107385,236631,236731,129.246000,129.580000
72,229,229,40e5961,177051,177385,248483,248583,71.098000,71.432000
72,89,89,4059960,232051,232377,254373,254473,21.996000,22.322000
72,10,10,400a962,215051,215385,281363,281463,65.978000,66.312000
72,248,248,40f8960,284051,284377,296321,296421,11.944000,12.270000
72,216,216,40d8961,281051,281385,309670,309770,28.285000,28.619000
72,18,18,4012960,226051,226385,327300,327400,100.915000,101.249000
72,27,27,401b962,289051,289385,333240,333340,43.855000,44.189000
72,47,47,402f962,322051,322377,345860,345960,23.483000,23.809000
72,278,278,4116961,319051,319377,357669,357769,38.292000,38.618000
72,24,24,4018961,329051,329385,368769,368869,39.384000,39.718000
72,42,42,402a960,357051,357385,374709,374809,17.324000,17.658000
72,375,375,4177962,274965,275299,380631,380731,105.332000,105.666000
72,394,394,418a963,370051,370377,386416,386516,16.039000,16.365000
72,384,384,4180962,398051,398385,410190,410290,11.805000,12.139000
72,183,183,40b7962,413051,413385,421853,421953,8.468000,8.802000
72,155,155,409b961,421051,421377,429930,430030,8.553000,8.879000
72,82,82,4052963,429051,429385,437941,438041,8.556000,8.890000
72,225,225,40e1962,460971,461305,469745,469845,8.440000,8.774000
72,332,332,414c963,461051,461377,475730,475830,14.353000,14.679000
72,36,36,4024962,506051,506385,514881,514981,8.496000,8.830000
72,316,316,413c960,531051,531385,545319,545419,13.934000,14.268000
72,273,273,4111962,548051,548377,554621,554721,6.244000,6.570000
72,33,33,4021962,540051,540385,560362,560462,19.977000,20.311000
72,121,121,4079961,557051,557385,569162,569262,11.777000,12.111000
72,322,322,4142961,537051,537377,573999,574099,36.622000,36.948000
72,106,106,406a963,558051,558385,588519,588619,30.134000,30.468000
72,204,204,40cc963,580051,580377,606144,606244,25.767000,26.093000
72,247,247,40f7963,588051,588377,612094,612194,23.717000,24.043000
72,220,220,40dc963,586998,587332,617970,618070,30.638000,30.972000
72,94,94,405e960,609051,609385,629812,629912,20.427000,20.761000
72,305,305,4131960,618051,618385,634298,634398,15.913000,16.247000
72,342,342,4156961,614051,614377,639118,639218,24.741000,25.067000
72,294,294,4126960,646051,646385,658374,658474,11.989000,12.323000
72,4,4,4004961,656051,656385,663044,663144,6.659000,6.993000
