port,pkt_seq,original_event_id,tail_flit,head_inject_req_ps,head_ingress_ack_ps,tail_egress_req_ps,tail_capture_ps,per_dest_latency_ns,tmax_component_ns
41,250,250,40fa962,2728051,2728385,2740358,2740458,11.973000,12.307000
41,46,46,402e961,3195051,3195385,3203945,3204045,8.560000,8.894000
41,280,280,4118962,3318051,3318385,3324827,3324927,6.442000,6.776000
41,148,148,4094960,3450051,3450377,3458761,3458861,8.384000,8.710000
41,313,313,4139962,3925051,3925385,3933837,3933937,8.452000,8.786000
41,341,341,4155961,4792051,4792385,4800869,4800969,8.484000,8.818000
41,322,322,4142962,5155051,5155377,5161681,5161781,6.304000,6.630000
42,176,176,40b0963,339051,339385,351416,351516,12.031000,12.365000
42,146,146,4092961,386044,386370,403038,403138,16.668000,16.994000
42,134,134,4086961,444051,444385,456292,456392,11.907000,12.241000
42,53,53,4035961,1012051,1012385,1024798,1024897,12.413000,12.747000
42,269,269,410d962,1106051,1106377,1114820,1114920,8.443000,8.769000
42,290,290,4122960,1177051,1177377,1189453,1189553,12.076000,12.402000
42,257,257,4101962,1679051,1679377,1691402,1691502,12.025000,12.351000
42,191,191,40bf963,1702051,1702377,1710951,1711051,8.574000,8.900000
42,308,308,4134960,1949051,1949377,1961342,1961442,11.965000,12.291000
42,341,341,4155961,4792051,4792385,4800842,4800942,8.457000,8.791000
43,176,176,40b0963,339051,339385,351416,351516,12.031000,12.365000
43,146,146,4092961,386044,386370,403038,403138,16.668000,16.994000
43,134,134,4086961,444051,444385,456292,456392,11.907000,12.241000
43,53,53,4035961,1012051,1012385,1024798,1024897,12.413000,12.747000
43,269,269,410d962,1106051,1106377,1114820,1114920,8.443000,8.769000
43,290,290,4122960,1177051,1177377,1189453,1189553,12.076000,12.402000
43,257,257,4101962,1679051,1679377,1691402,1691502,12.025000,12.351000
43,191,191,40bf963,1702051,1702377,1710951,1711051,8.574000,8.900000
43,308,308,4134960,1949051,1949377,1961342,1961442,11.965000,12.291000
43,341,341,4155961,4792051,4792385,4800842,4800942,8.457000,8.791000
52,95,95,405f961,140051,140385,148864,148964,8.479000,8.813000
52,146,146,4092961,386044,386370,401223,401323,14.853000,15.179000
52,134,134,4086961,444051,444385,452814,452914,8.429000,8.763000
